cal_bottle_id,cal_bottle_CO2
1,798.1914063508195
2,807.2388088294385
3,391.30605031135417
4,399.5306738030804
5,407.0527557580817
6,401.5412941876083
7,403.08825054200275
8,413.35824544383127
9,805.5490240326694
10,804.5930779005457
11,400.2689675420559
12,816.1936281448011
13,417.6837019046222
14,809.3100835262264
15,807.8444614306677
16,401.87847450851604
17,390.0240811582326
18,400.6079887912942
19,413.5750279020124
20,401.80090700034015
21,400.30465761567046
22,406.676269659521
23,390.49101883668334
24,806.8094391078063
25,817.9944589683803
26,403.0484176551189
27,399.57209790624563
28,811.0902291726092
29,805.9569716975996
30,400.67101965388713
31,806.6917643208662
32,805.2646013098674
33,805.6725677565137
34,805.7284689396154
35,808.3055093557002
36,400.8003365798129
37,802.1964319732738
38,814.6699822450586
39,816.2521645761756
40,802.7083573471682
41,402.3369712562414
42,404.2789480660756
43,404.09582995082815
44,404.1711301514231
45,406.2700250087569
46,405.84240790611585
47,402.7636140227344
48,403.8436849760295
49,404.00587274479017
50,403.98897911282126
51,402.4498480937136
52,404.33834457018736
53,404.08245187134105
54,403.74319422383724
55,405.9942543148306
56,403.93816163816047
57,405.87714598831826
58,405.7207208543184
59,403.97509316925994
60,405.81498512205485
61,525.7966529563002
62,525.8786286309278
63,521.6622912442359
64,525.6320028647042
65,524.2810276039543
66,524.0589566337143
67,525.6160497080073
68,525.7712518589742
69,525.4179514150369
70,525.0001758973897
71,524.9279574607302
72,524.3050674789254
73,524.3232952966947
74,523.6374309320414
75,524.4227474437
76,524.8762542662157
77,524.5003306696854
78,521.7477712385396
79,523.9036866803831
80,522.9999944288347
81,522.399596037361
82,522.0029551874638
83,522.4944370190834
84,519.4996164252359
85,522.6065096159259
86,522.4389257404735
87,522.304663100912
88,522.0123712598768
89,523.1993757923232
90,522.7276754822104
91,522.7470038342326
92,519.9730075536429
93,522.5310582054829
94,521.878696409748
95,522.3377255165628
96,521.8621744185366
97,522.2172384481117
98,522.6360574361446
99,522.8800788846385
100,522.5006704602793
101,401.9663457662931
102,402.8704677346891
103,402.8848475250676
104,401.8274274077712
105,400.6563701343928
106,401.7903043412514
107,402.0935771008572
108,402.82112465109776
109,399.6676137159892
110,401.7645314568672
111,402.70213401646066
112,402.70129592372444
113,401.8755007882667
114,401.99006017958624
115,402.65517458784814
116,402.1074731976945
117,401.6490928378198
118,401.8560315443678
119,403.03981803889957
120,402.6622909917404
121,401.2743982303431
122,521.500056066913
123,400.30859368932727
124,521.4933328094539
125,400.44900722504093
126,521.6888636568976
127,400.54770724667713
128,521.7642041121817
129,400.8196930132001
130,520.4968326799922
131,400.18580430403887
132,521.1986473948901
133,401.07391490455234
134,520.7463287119492
135,400.48827367601723
136,521.0480300981246
137,400.27590032286116
138,521.6055939378524
139,400.48451511983035
140,521.3142939635954
141,400.30424511696384
142,521.3817454324594
143,399.13098469670047
144,521.5573532082997
145,401.16088294055953
146,521.358689863752
147,399.70223291652735
148,514.8429712191439
149,399.5814343113325
150,521.116031126626
151,400.9482227395402
152,521.6922084841618
153,400.73420987917467
154,521.2351399232643
155,400.30287575097617
156,521.151872637366
157,401.0963974725166
158,521.3346477320963
159,400.25360370351547
160,520.6691797502749
